Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
IBM,3.9,IT Services & Consulting,(26.3k),"Work Life Balance, Company Culture, Job Security",Promotions,Bengaluru +162 other locations
Larsen & Toubro Limited,3.9,Engineering & Construction,(24.4k),"Job Security, Skill Development, Salary","Promotions, Work Life Balance",Mumbai +782 other locations
Deloitte,3.6,Management Consulting,(24k),,"Promotions, Work Life Balance, Work Satisfaction",Hyderabad +186 other locations
Kotak Mahindra Bank,3.6,Banking,(23k),,"Promotions, Work Satisfaction, Company Culture",Mumbai +698 other locations
Reliance Industries,4.0,Oil & Gas,(20.6k),"Job Security, Work Life Balance, Skill Development",Promotions,Jamnagar +822 other locations
Vodafone Idea,3.9,Telecom,(17.8k),"Salary, Company Culture, Work Life Balance",Promotions,Pune +708 other locations
Bharti Airtel,3.8,Telecom,(17.4k),,Promotions,Gurugram +797 other locations
BYJU'S,3.2,EdTech,(16.4k),,"Job Security, Company Culture, Work Life Balance",Bengaluru +321 other locations
WNS,3.3,IT Services & Consulting,(15.6k),,"Promotions, Salary, Work Satisfaction",Pune +69 other locations
IDFC FIRST Bank,4.0,Banking,(15.3k),"Salary, Work Life Balance, Job Security",,Mumbai +747 other locations
Ernst & Young,3.4,Management Consulting,(15k),,"Promotions, Work Life Balance, Work Satisfaction",Bengaluru +135 other locations
IndusInd Bank,3.4,Banking,(14.6k),,"Promotions, Company Culture, Work Satisfaction",Mumbai +806 other locations
AU Small Finance Bank,3.8,Banking,(14.6k),Salary,,Jaipur +811 other locations
Tata Motors,4.1,Automobile,(14.4k),"Job Security, Company Culture, Work Life Balance",Promotions,Pune +510 other locations
Bajaj Finserv,3.9,NBFC,(13.6k),"Salary, Skill Development, Job Security",,Pune +1221 other locations
Muthoot FinCorp,4.5,NBFC,(13.3k),"Company Culture, Work Life Balance, Job Security",,Bengaluru +1126 other locations
Flipkart,3.9,Internet,(13.3k),"Skill Development, Salary",Promotions,Bengaluru +560 other locations
PwC,3.3,Management Consulting,(13.1k),,"Promotions, Work Life Balance, Work Satisfaction",Bengaluru +139 other locations
HDFC Life,3.8,Insurance,(12.4k),Skill Development,Promotions,Mumbai +724 other locations
Mahindra & Mahindra,4.0,Automobile,(12.4k),"Job Security, Skill Development, Company Culture",Promotions,Pune +570 other locations
Infosys BPM,3.5,BPO,(12.3k),Job Security,"Promotions, Salary, Work Satisfaction",Bengaluru +95 other locations
DXC Technology,3.6,IT Services & Consulting,(12.2k),Work Life Balance,"Promotions, Salary, Work Satisfaction",Bengaluru +132 other locations
Bandhan Bank,3.7,Banking,(11.6k),,"Promotions, Work Satisfaction, Company Culture",Kolkata +1028 other locations
Digitide Solutions,3.4,IT Services & Consulting,(10.6k),,"Promotions, Salary, Work Satisfaction",Hyderabad +276 other locations
Yes Bank,3.7,Banking,(10.5k),,"Job Security, Promotions, Company Culture",Mumbai +545 other locations
Mphasis,3.3,IT Services & Consulting,(10.5k),,"Promotions, Salary, Work Satisfaction",Bengaluru +64 other locations
Tata Steel,4.0,Iron & Steel,(10.2k),"Work Life Balance, Job Security, Company Culture",Promotions,Jamshedpur +228 other locations
Quess,3.8,Recruitment,(10k),,"Promotions, Job Security",Bengaluru +768 other locations
Asian Paints,3.9,Chemicals,(9.9k),"Salary, Skill Development, Job Security",Promotions,Mumbai +565 other locations
UltraTech Cement,4.1,Building Material,(9.8k),"Job Security, Skill Development, Company Culture",Promotions,Mumbai +548 other locations
Startek,3.0,BPO,(9.8k),,"Promotions, Work Satisfaction, Salary",Bengaluru +104 other locations
Maruti Suzuki,4.1,Automobile,(9.7k),"Job Security, Salary, Company Culture",,Gurugram +463 other locations
Paytm,3.2,FinTech,(9.5k),,"Job Security, Company Culture, Promotions",Noida +430 other locations
Bajaj Finance,3.9,NBFC,(9.5k),"Salary, Skill Development, Job Security",,Pune +1016 other locations
Shriram Finance,3.9,NBFC,(9.3k),"Job Security, Work Life Balance",Promotions,Chennai +1127 other locations
Sutherland Global Services,3.3,BPO,(9.3k),,"Promotions, Work Satisfaction, Skill Development",Chennai +83 other locations
Coforge,3.3,IT Services & Consulting,(9.1k),,"Promotions, Work Satisfaction, Job Security",Hyderabad +113 other locations
Equitas Small Finance Bank,4.3,Banking,(9.1k),"Job Security, Company Culture, Work Life Balance",,Chennai +488 other locations
Wells Fargo,3.6,Financial Services,(9k),,"Promotions, Skill Development, Work Satisfaction",Bengaluru +28 other locations
Cipla,4.1,Pharma,(8.8k),"Salary, Work Life Balance, Skill Development",,Mumbai +297 other locations
EXL Service,3.6,Analytics & KPO,(8.8k),Job Security,"Promotions, Salary, Skill Development",Noida +62 other locations
Ericsson,3.9,Telecom,(8.5k),"Work Life Balance, Company Culture","Promotions, Salary",Noida +161 other locations
Samsung,3.9,Consumer Electronics & Appliances,(8.5k),"Work Life Balance, Salary",Promotions,Noida +583 other locations
Dr. Reddy's,4.0,Pharma,(8.4k),"Company Culture, Work Life Balance, Skill Development",Promotions,Hyderabad +217 other locations
Optum Global Solutions,4.0,IT Services & Consulting,(8.2k),"Job Security, Work Life Balance, Company Culture",Promotions,Hyderabad +69 other locations
JSW Steel,3.9,Iron & Steel,(8.1k),"Job Security, Skill Development",Promotions,Ballari +201 other locations
Delhivery,3.8,Logistics,(8k),,Promotions,Gurugram +773 other locations
JPMorgan Chase & Co.,3.8,Financial Services,(8k),"Job Security, Salary",Promotions,Bengaluru +56 other locations
ICICI Prudential Life Insurance,3.9,Insurance,(7.9k),"Job Security, Salary, Skill Development",,Mumbai +514 other locations
Hexaware Technologies,3.4,IT Services & Consulting,(7.9k),,"Promotions, Salary, Work Satisfaction",Chennai +71 other locations
Ujjivan Small Finance Bank,4.0,Banking,(7.8k),"Company Culture, Work Life Balance, Job Security",,Bengaluru +549 other locations
Sun Pharmaceutical Industries,4.0,Pharma,(7.8k),"Salary, Skill Development, Company Culture",,Vadodara +266 other locations
Jana Small Finance Bank,3.7,Banking,(7.8k),Salary,Promotions,Bengaluru +429 other locations
Zydus Lifesciences,4.0,Pharma,(7.8k),"Salary, Skill Development, Work Life Balance",,Ahmedabad +185 other locations
Ekart Logistics,3.9,Logistics,(7.7k),Skill Development,Promotions,Bengaluru +744 other locations
HGS,3.7,Emerging Technologies,(7.6k),,"Promotions, Salary",Bengaluru +122 other locations
KPMG India,3.4,Management Consulting,(7.5k),,"Promotions, Work Life Balance, Work Satisfaction",Bengaluru +113 other locations
Amazon Development Centre India,3.8,Internet,(7.5k),"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",Hyderabad +146 other locations
Lupin,4.1,Pharma,(7.5k),"Company Culture, Skill Development, Work Life Balance",Promotions,Pune +205 other locations
Axis Max Life Insurance,4.0,Insurance,(7.4k),"Skill Development, Company Culture, Work Life Balance",,New Delhi +517 other locations
L&T Construction,4.0,Engineering & Construction,(7.4k),"Job Security, Skill Development, Salary",Promotions,Chennai +436 other locations
ITC,3.8,FMCG,(7.3k),"Job Security, Skill Development",Promotions,Bengaluru +383 other locations
Hindustan Unilever,4.2,FMCG,(7.3k),"Skill Development, Company Culture, Work Life Balance",Promotions,Mumbai +550 other locations
Megha Engineering & Infrastructures,3.9,Engineering & Construction,(7.1k),"Work Life Balance, Job Security",Promotions,Hyderabad +414 other locations
Tata Projects,4.2,Engineering & Construction,(7k),"Salary, Company Culture, Work Life Balance",,Mumbai +288 other locations
Cholamandalam Investment & Finance,3.8,Financial Services,(6.9k),Salary,Promotions,Chennai +873 other locations
Bajaj Life Insurance,3.8,Insurance,(6.9k),Salary,,Pune +624 other locations
L&T Technology Services,3.1,IT Services & Consulting,(6.8k),,"Promotions, Salary, Work Satisfaction",Bengaluru +96 other locations
FIS,3.7,FinTech,(6.7k),Work Life Balance,"Promotions, Job Security, Skill Development",Pune +61 other locations
Oracle,3.3,Software Product,(6.7k),Work Life Balance,"Promotions, Salary, Work Satisfaction",Bengaluru +56 other locations
JLL,4.1,Real Estate,(6.6k),"Company Culture, Work Life Balance, Job Security",Promotions,Gurugram +89 other locations
Omega Healthcare,3.7,BPO,(6.6k),,"Promotions, Salary",Chennai +71 other locations
Muthoot Finance,3.7,NBFC,(6.5k),,"Promotions, Work Satisfaction",Bengaluru +802 other locations
IIFL Finance,4.0,NBFC,(6.5k),"Work Life Balance, Company Culture, Job Security",,Mumbai +821 other locations
eClerx,3.1,IT Services & Consulting,(6.5k),,"Promotions, Salary, Work Satisfaction",Pune +33 other locations
Indian Army,4.7,Defence & Aerospace,(6.4k),"Job Security, Company Culture, Work Life Balance",,New Delhi +368 other locations
DMart,3.9,Retail,(6.4k),"Job Security, Company Culture",Promotions,Mumbai +258 other locations
PolicyBazaar,3.8,Internet,(6.3k),Salary,Work Life Balance,Gurugram +161 other locations
Piramal Finance,4.2,NBFC,(6.3k),"Company Culture, Work Life Balance, Skill Development",,Mumbai +436 other locations
Indiamart Intermesh,3.6,Internet,(6.3k),,"Company Culture, Work Life Balance, Work Satisfaction",Noida +169 other locations
Virtusa Consulting Services,3.7,IT Services & Consulting,(6.2k),,"Promotions, Salary, Work Satisfaction",Hyderabad +56 other locations
HSBC Group,3.8,Financial Services,(6.2k),"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Bengaluru +63 other locations
SMFG India Credit,3.9,NBFC,(6.1k),Salary,Promotions,Mumbai +613 other locations
HCL Group,3.5,IT Services & Consulting,(6.1k),,"Promotions, Salary, Work Satisfaction",Chennai +97 other locations
Access Healthcare,3.7,BPO,(6.1k),,Promotions,Chennai +62 other locations
BigBasket,3.9,Internet,(6k),Job Security,Promotions,Bengaluru +145 other locations
Manappuram Finance,3.9,NBFC,(5.9k),"Work Life Balance, Promotions, Skill Development",,Bengaluru +665 other locations
ICICI Lombard General Insurance Company,3.5,Insurance,(5.9k),,"Promotions, Work Satisfaction, Company Culture",Mumbai +325 other locations
Siemens,3.9,Industrial Automation,(5.9k),"Work Life Balance, Job Security, Company Culture",Promotions,Bengaluru +156 other locations
Firstsource Solutions,3.5,BPO,(5.9k),,"Promotions, Salary, Work Satisfaction",Bengaluru +73 other locations
GlobalLogic,3.5,IT Services & Consulting,(5.9k),,"Promotions, Salary, Work Satisfaction",Hyderabad +62 other locations
Apollo Hospitals,4.0,Healthcare,(5.9k),"Job Security, Skill Development, Company Culture",Promotions,Chennai +227 other locations
Aurobindo Pharma,4.0,Pharma,(5.9k),"Job Security, Salary, Work Life Balance",Promotions,Hyderabad +117 other locations
Tata Capital,4.0,NBFC,(5.9k),"Job Security, Company Culture, Work Life Balance",Promotions,Mumbai +462 other locations
Shapoorji Pallonji Group,4.1,Engineering & Construction,(5.9k),"Job Security, Company Culture, Work Life Balance",Promotions,Mumbai +190 other locations
UST,3.7,IT Services & Consulting,(5.8k),Work Life Balance,"Promotions, Job Security, Salary",Bengaluru +52 other locations
Swiggy,3.7,Internet,(5.8k),,"Job Security, Promotions, Work Life Balance",Bengaluru +240 other locations
Standard Chartered,3.6,Banking,(5.8k),,"Promotions, Work Satisfaction, Salary",Chennai +71 other locations
Mahindra Finance,3.8,NBFC,(5.8k),,Promotions,Mumbai +744 other locations
Bosch Global Software Technologies,3.7,IT Services & Consulting,(5.8k),"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",Bengaluru +47 other locations
Udaan,3.9,Internet,(5.7k),Salary,"Job Security, Promotions",Bengaluru +366 other locations
Citicorp,3.6,Financial Services,(5.7k),Salary,"Promotions, Work Satisfaction, Skill Development",Pune +68 other locations
Ashok Leyland,4.0,Automobile,(5.7k),"Skill Development, Company Culture, Work Life Balance",Promotions,Chennai +266 other locations
Hero MotoCorp,4.1,Automobile,(5.6k),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Gurugram +377 other locations
CGI Inc,4.0,IT Services & Consulting,(5.6k),"Work Life Balance, Job Security, Company Culture","Promotions, Salary",Bengaluru +43 other locations
SBI Cards & Payment Services,3.6,Financial Services,(5.4k),,"Promotions, Work Satisfaction, Company Culture",Gurugram +452 other locations
NTT DATA,3.8,IT Services & Consulting,(5.4k),"Work Life Balance, Job Security",Promotions,Bengaluru +81 other locations
Kalpataru Projects International,4.1,Engineering & Construction,(5.4k),"Job Security, Skill Development, Salary",,Mumbai +331 other locations
Cyient,3.6,IT Services & Consulting,(5.4k),,"Promotions, Salary, Skill Development",Hyderabad +49 other locations
BNY,3.6,Financial Services,(5.4k),,"Promotions, Job Security, Work Satisfaction",Pune +28 other locations
Nagarjuna Construction Company,4.0,Engineering & Construction,(5.4k),"Job Security, Work Life Balance, Skill Development",Promotions,Hyderabad +299 other locations
IQVIA,3.7,Clinical Research,(5.4k),Work Life Balance,"Promotions, Salary, Work Satisfaction",Bengaluru +68 other locations
Schneider Electric,4.1,Industrial Automation,(5.3k),"Company Culture, Work Life Balance, Job Security",Promotions,Bengaluru +122 other locations
SBI Life Insurance Company,3.7,Insurance,(5.3k),Job Security,"Promotions, Work Life Balance, Work Satisfaction",Mumbai +668 other locations
CBRE,4.1,Real Estate,(5.3k),"Company Culture, Work Life Balance, Job Security",,Hyderabad +92 other locations
JustDial,3.5,Internet,(5.3k),,"Promotions, Work Satisfaction, Job Security",Noida +237 other locations
TVS Motor,3.8,Automobile,(5.2k),"Job Security, Skill Development, Salary",Promotions,Hosur +356 other locations
State Bank of India,3.9,Banking,(5.2k),"Job Security, Skill Development, Salary",,Mumbai +661 other locations
Persistent Systems,3.6,IT Services & Consulting,(5.2k),,"Promotions, Job Security, Work Satisfaction",Pune +42 other locations
KEC International,4.0,Engineering & Construction,(5.1k),"Job Security, Salary, Company Culture",Promotions,Mumbai +321 other locations
ITC Infotech,3.8,IT Services & Consulting,(5k),"Work Life Balance, Job Security",Promotions,Bengaluru +69 other locations
Amdocs,3.6,Software Product,(5k),Company Culture,"Promotions, Job Security, Work Satisfaction",Pune +24 other locations
Atos,3.8,IT Services & Consulting,(5k),Work Life Balance,"Promotions, Salary",Pune +50 other locations
vivo,4.0,Consumer Electronics & Appliances,(5k),"Company Culture, Skill Development, Work Life Balance",Promotions,Noida +417 other locations
Varun Beverages,4.0,Beverage,(5k),"Job Security, Work Life Balance, Skill Development",Promotions,New Delhi +387 other locations
JBM Group,3.9,Auto Components,(5k),"Job Security, Skill Development",Promotions,Gurugram +119 other locations
Utkarsh Small Finance Bank,3.6,Banking,(4.9k),,"Promotions, Company Culture, Work Satisfaction",Varanasi +428 other locations
Ecom Express,4.1,Logistics,(4.9k),"Work Life Balance, Company Culture, Work Satisfaction",,Gurugram +782 other locations
Randstad,3.7,Recruitment,(4.8k),,"Promotions, Job Security, Work Satisfaction",Hyderabad +373 other locations
Nagarro,3.9,IT Services & Consulting,(4.8k),"Work Life Balance, Company Culture",Promotions,Gurugram +48 other locations
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting,(4.8k),Job Security,"Promotions, Work Satisfaction, Work Life Balance",Bengaluru +57 other locations
Eviden,3.6,IT Services & Consulting,(4.8k),Work Life Balance,"Promotions, Salary, Job Security",Pune +39 other locations
Bosch,4.1,Auto Components,(4.8k),"Work Life Balance, Company Culture, Skill Development",Promotions,Bengaluru +133 other locations
Hetero,3.9,Pharma,(4.8k),"Job Security, Work Life Balance",Promotions,Hyderabad +73 other locations
Intas Pharmaceuticals,4.1,Pharma,(4.8k),"Job Security, Salary, Work Life Balance",,Ahmedabad +153 other locations
Havells,3.9,Electrical Equipment,(4.7k),"Work Life Balance, Salary",Promotions,Noida +269 other locations
L&T Finance,3.9,NBFC,(4.7k),Salary,Promotions,Mumbai +660 other locations
R1 RCM,3.8,BPO,(4.7k),Job Security,Promotions,New Delhi +49 other locations
Aditya Birla Fashion and Retail,4.0,Fashion & Textile,(4.7k),"Job Security, Skill Development, Company Culture",Promotions,Bengaluru +295 other locations
Tata AIA Life Insurance,3.8,Insurance,(4.7k),"Job Security, Skill Development, Salary",Promotions,Mumbai +464 other locations
Tata AIA Life Insurance,3.8,Insurance,(4.7k),"Job Security, Skill Development, Salary",Promotions,Mumbai +464 other locations
Cars24,3.4,Internet,(4.7k),,"Job Security, Promotions, Company Culture",Gurugram +172 other locations
Mahindra Logistics,3.7,Logistics,(4.7k),,"Promotions, Salary",Mumbai +233 other locations
Lenskart,3.3,Internet,(4.6k),,"Promotions, Company Culture, Work Satisfaction",New Delhi +256 other locations
Berger Paints,3.7,Chemicals,(4.6k),,"Promotions, Company Culture, Work Life Balance",Kolkata +374 other locations
Dell,3.8,Consumer Electronics & Appliances,(4.6k),"Work Life Balance, Company Culture","Promotions, Job Security",Bengaluru +118 other locations
Home Credit Finance,4.0,NBFC,(4.6k),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Gurugram +140 other locations
Deutsche Bank,3.8,Banking,(4.6k),"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development",Pune +42 other locations
Motilal Oswal Financial Services,3.7,Financial Services,(4.5k),Skill Development,"Promotions, Work Life Balance, Work Satisfaction",Mumbai +170 other locations
OPPO,3.9,Consumer Electronics & Appliances,(4.5k),,"Promotions, Job Security",Greater Noida +415 other locations
Hyundai Motor India Limited,4.1,Automobile,(4.5k),"Job Security, Salary, Company Culture",Promotions,Chennai +294 other locations
TeamLease Services,3.9,Recruitment,(4.5k),Work Life Balance,Promotions,Bengaluru +410 other locations
VE Commercial Vehicles,3.9,Automobile,(4.5k),"Job Security, Company Culture, Skill Development","Promotions, Salary",Indore +184 other locations
Thermax Limited,4.2,Industrial Machinery,(4.4k),"Job Security, Company Culture, Skill Development",Promotions,Pune +263 other locations
Jubilant Foods Works,3.7,Hospitality,(4.4k),,"Promotions, Work Life Balance, Work Satisfaction",Noida +272 other locations
Macleods Pharmaceuticals,3.7,Pharma,(4.3k),Job Security,"Promotions, Company Culture",Mumbai +140 other locations
Carelon Global Solutions,4.0,IT Services & Consulting,(4.3k),"Company Culture, Job Security, Work Life Balance",Promotions,Bengaluru +20 other locations
Aakash Educational Services,3.2,Education & Training,(4.3k),,"Promotions, Work Life Balance, Job Security",New Delhi +251 other locations
State Street Corporation,3.5,Financial Services,(4.3k),,"Promotions, Work Satisfaction, Job Security",Bengaluru +36 other locations
Jindal Steel Limited,3.9,Iron & Steel,(4.3k),Skill Development,Promotions,Angul +176 other locations
Bajaj Auto,3.8,Automobile,(4.3k),,Promotions,Pune +329 other locations
Hindalco Industries,4.2,Metals & Mining,(4.3k),"Job Security, Work Life Balance, Skill Development",,Sambalpur +133 other locations
LG Electronics,3.8,Consumer Electronics & Appliances,(4.2k),Job Security,Promotions,Pune +304 other locations
HDFC ERGO General Insurance,3.9,Insurance,(4.2k),"Work Life Balance, Company Culture, Job Security",Promotions,Mumbai +332 other locations
Kogta Financial India Limited,4.6,NBFC,(4.2k),"Work Life Balance, Company Culture, Work Satisfaction",,Jaipur +260 other locations
DCB Bank,3.8,Banking,(4.2k),Work Life Balance,Promotions,Mumbai +349 other locations
Royal Enfield,4.2,Automobile,(4.1k),"Work Life Balance, Skill Development, Company Culture",Promotions,Chennai +376 other locations
John Deere,4.0,Industrial Machinery,(4.1k),"Company Culture, Work Life Balance, Skill Development",Promotions,Pune +157 other locations
RBL Bank,3.5,Banking,(4.1k),,"Promotions, Company Culture, Work Satisfaction",Mumbai +296 other locations
Tata Communications,3.8,Telecom,(4.1k),Work Life Balance,"Promotions, Salary",Pune +102 other locations
Publicis Sapient,3.2,IT Services & Consulting,(4.1k),,"Promotions, Job Security, Work Satisfaction",Bengaluru +47 other locations
Cummins,4.3,Industrial Machinery,(4.1k),"Company Culture, Work Life Balance, Work Satisfaction",,Pune +117 other locations
Cloudnine Hospital,4.5,Healthcare,(4.1k),"Company Culture, Job Security, Skill Development",,Bengaluru +46 other locations
Alembic Pharmaceuticals,3.9,Pharma,(4k),Salary,,Vadodara +190 other locations
Pidilite Industries,4.2,Chemicals,(4k),"Job Security, Work Life Balance, Company Culture",Promotions,Mumbai +323 other locations
Bank of America,4.1,Banking,(4k),"Job Security, Work Life Balance, Company Culture",Promotions,Gurugram +34 other locations
Grasim Industries,4.0,Building Material,(4k),"Job Security, Work Life Balance, Skill Development",Promotions,Bharuch +266 other locations
Aditya Birla Sun Life Insurance,4.0,Insurance,(4k),"Work Life Balance, Company Culture, Skill Development",,Mumbai +516 other locations
Oyo Rooms,3.0,Hospitality,(4k),,"Job Security, Company Culture, Work Satisfaction",Gurugram +121 other locations
PNB MetLife,3.3,Insurance,(4k),,"Company Culture, Work Satisfaction, Job Security",New Delhi +435 other locations
American Express,4.1,Financial Services,(4k),"Company Culture, Work Life Balance, Job Security",Promotions,Gurugram +54 other locations
Kyndryl,3.9,IT Services & Consulting,(4k),"Work Life Balance, Company Culture, Skill Development",Promotions,Bengaluru +41 other locations
Aditya Birla Capital,3.8,NBFC,(3.9k),,Promotions,Mumbai +354 other locations
Subros,3.7,Auto Components,(3.9k),"Job Security, Skill Development","Salary, Promotions",Noida +88 other locations
KPIT Technologies,2.8,Software Product,(3.9k),,"Promotions, Job Security, Work Satisfaction",Pune +43 other locations
ADP Private Limited,3.8,Software Product,(3.9k),"Job Security, Company Culture, Work Life Balance","Promotions, Salary",Hyderabad +41 other locations
Escorts Kubota Limited,4.1,Industrial Machinery,(3.9k),"Work Life Balance, Company Culture, Skill Development",Promotions,Faridabad +163 other locations
Maersk,3.9,Logistics,(3.9k),"Company Culture, Work Life Balance",Promotions,Chennai +50 other locations
